scope,case,case_name,expected_signal,expected_direction,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,sign_correct
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,59,26851147,-0.14556429734129137,0.1570393162826385,-0.038996902715066624,0.7151677394330369,0.017647856755290285,0.865,-0.00021534159603515002,-0.00126522520301279,0.0008059314820106431,-0.02924437215201127,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,59,26851147,0.8704693434617471,1.0869792583501387e-30,0.19442812522818284,0.06631486519960349,0.22182582745523605,0.035,-0.00010040878238782788,-0.004870491881204767,0.004228249911069068,-0.0034343415409194343,True,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,59,26851147,0.5416440586001086,1.2078078290263326e-08,0.7655035437562748,1.5466286251915268e-18,0.847436245252306,0.005,0.039239228879099475,0.026752824557857262,0.053594708822900655,0.7326997737462824,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,59,26851147,0.8398263700488334,1.1180220969865022e-26,0.9263994923542916,4.2901080793018127e-39,0.9190586001085187,0.005,0.08563897382249729,0.06653221749129751,0.10838632148998706,0.854333243089307,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,59,27851150,0.04120449780827139,0.7673593781695544,0.16237717181129133,0.25989650574755585,0.29590242043072223,0.04,-0.0001533504720339727,-0.0015633967450171665,0.00104809231286331,-0.0262635018811357,True,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,59,27851150,0.8580522203163712,1.138543721406659e-16,0.23873627136520134,0.09498610884510318,0.03579188107489994,0.81,-0.022380745200044766,-0.03848732211785293,-0.009733284853000134,-0.6833091620170724,False,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,59,27851150,0.7079473985134361,2.1404076363927207e-09,0.8726979915133607,1.4817887582819835e-16,0.9297884505431673,0.005,0.05020466322341294,0.033569002739540076,0.06793437245232575,0.8419013973080713,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,59,27851150,-0.8411282637697731,1.7104880442477303e-15,-0.9076817128624586,9.96170452364348e-20,-0.9053935582237468,0.005,0.06259143931310572,0.038962041046605764,0.08848040634537119,0.7515253052357621,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,59,35851166,-0.10482342069412291,0.28029424156497623,-0.10509352505820294,0.2813400532854705,-0.10987545227197058,0.24,0.06157448879539937,0.04568424475262269,0.0773136173660043,0.7104610763387849,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,60,26861154,-0.12353499728703202,0.23047557151480266,-0.07441133663215434,0.48578567699990766,0.032013022246337494,0.775,-0.001370728288561742,-0.002709533908867794,-0.0002568774558695825,-0.21265719446848758,False,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,60,26861154,0.8784590341833965,6.604172855613104e-32,0.039768225270788375,0.7097826090024001,0.10994302767227346,0.25,0.0009138057242743837,-0.002793502368054243,0.004459218126564458,0.039063599982845795,False,True,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,60,26861154,0.6059549647314161,6.087276046398713e-11,0.765572713045897,1.5291830942517583e-18,0.8589256646771568,0.005,0.04035826357885159,0.024021981132962843,0.055540365894151934,0.6900406839101035,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,60,26861154,0.8659658166033641,4.862159401693598e-30,0.9387678979950498,1.711900620682238e-42,0.9447232772653282,0.005,0.08229521135659891,0.06003967415435715,0.11036209510688696,0.8315022446441918,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,60,27861157,0.013531541833428624,0.9226360047268425,0.04447182726564186,0.7591011257453611,-0.07116447493805983,0.64,-0.0008820855688858741,-0.0013565496908133992,-0.00041570764501846027,-0.28318139242518603,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,60,27861157,0.859576901086335,8.768732732751204e-17,0.04028330444029598,0.7812010997425676,-0.2178387650085763,0.14,-0.005388258885632061,-0.009010002669779665,-0.0021724329084086996,-0.162753048305934,False,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,60,27861157,0.6771488469601676,1.883845362921906e-08,0.839608676651909,2.5654694726318315e-14,0.8649132837812082,0.005,0.040079491501229095,0.023133901181804986,0.0583241586981216,0.7522836698582618,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,60,27861157,-0.8759672193634457,4.292998400720459e-18,-0.9392410202704776,6.236516372916734e-24,-0.9194206213074135,0.005,0.06926990724629285,0.04308129723527643,0.1009634748648609,0.7839132002026409,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,60,35861173,-0.01854868673011518,0.8488883861296233,-0.0230540763756862,0.8136627152851001,-0.014262746078857138,0.89,0.060375161039743344,0.044798707087423985,0.07607821080592031,0.7098709196021291,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,61,26871161,-0.10682311448724906,0.30024622934083167,-0.09345388503644293,0.3809714300042204,0.07637004883342377,0.47,0.00013944491863526406,-0.0019345923862642152,0.0019139674751781066,0.01956573883237448,False,True,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,61,26871161,0.8889989148128051,1.1950813883008749e-33,0.21870113914718733,0.03836626136301659,0.25051546391752577,0.02,6.91089721062306e-05,-0.0036303196467388724,0.0040974412728784935,0.0023305714865773444,True,True,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,61,26871161,0.5564975583288116,3.92898288054736e-09,0.769584931942023,7.866231959514207e-19,0.8489555073250136,0.005,0.03507718345410884,0.021414089909305545,0.050424556832655315,0.6949819824699208,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,61,26871161,0.8771025501899078,1.0771477685762913e-31,0.9428086256814052,9.266264764860367e-44,0.9298697775366251,0.005,0.07887803807290049,0.056072127550126055,0.10436238784528284,0.8476143264860728,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,61,27871164,0.05805222031637125,0.6767039476136936,-0.07703497120033613,0.5949107694132676,-0.06194015627977891,0.59,-0.0009353961680784945,-0.0018666778736398672,-5.08215183274107e-05,-0.19079667994848176,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,61,27871164,0.9160663236134933,2.7759499034675455e-22,0.4008396672567645,0.00391771692156709,0.16828663998475318,0.18,-0.0006197267450785693,-0.004752367506810727,0.00463103799117171,-0.030891480348075026,False,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,61,27871164,0.5846007242233657,3.4567805985168153e-06,0.7603010653643059,1.5066508452592432e-10,0.8460072422336572,0.005,0.024753152584305275,0.014328500811109094,0.03633021487834731,0.5526270329760459,True,True,True,True,True
task2,3,task_specialist,True,-1,54,6,polynomial_ridge_interactions,61,27871164,-0.8418143701162568,1.5421299531729456e-15,-0.9111639906910817,4.120877755705298e-20,-0.9106537068801218,0.005,0.09127174437690881,0.05933548020342882,0.13055162604435644,0.7943666856177741,True,True,True,True,True
balanced_pool,4,opposite_sign_task_specialists,heterogeneous,0,108,6,polynomial_ridge_interactions,61,35871180,-0.0440805205445521,0.6505573886266844,-0.03643510560954361,0.7094575780396325,-0.031854537141254115,0.73,0.05793664809924404,0.041253918389435894,0.07439872104223377,0.6838132307495192,False,True,True,False,True
task1,0,real_structure_null,False,0,96,6,polynomial_ridge_interactions,62,26881168,0.00396093326098752,0.9694478322326642,0.0780729937446109,0.4645168004402626,0.2828676071622355,0.005,-0.0011697408498289909,-0.0029600243879901325,0.00034636457945600335,-0.13300880800597334,True,False,False,False,True
task1,1,real_design_proxy,False,0,96,6,polynomial_ridge_interactions,62,26881168,0.8940857297883885,1.4871575770730884e-34,0.2724395299382617,0.009382380886181037,0.199877916440586,0.05,-0.0026652236436745524,-0.006606324376788696,0.0010600493272219455,-0.10503666743234114,True,False,False,False,True
task1,2,injected_increment,True,1,96,6,polynomial_ridge_interactions,62,26881168,0.6387818773738471,2.5130082405173903e-12,0.7380384067726853,1.0507699017076324e-16,0.7042729245794899,0.005,0.019772542570191082,0.008227452564600515,0.03100171372498357,0.4617397196367659,True,True,True,True,True
task1,3,task_specialist,True,1,96,6,polynomial_ridge_interactions,62,26881168,0.7800461204557786,7.569922787417416e-21,0.8828415291738697,1.2562473942395135e-30,0.8742132392837766,0.005,0.04890431895999307,0.03358529433698929,0.06602494073812155,0.6632386413707895,True,True,True,True,True
task2,0,real_structure_null,False,0,54,6,polynomial_ridge_interactions,62,27881171,0.1082142176481799,0.43604262357439044,-0.17795787601803217,0.21630161458806182,-0.24170001905850957,0.11,-0.0002981655854309333,-0.0018197076043965222,0.001085101801945357,-0.07260600928256822,False,False,False,False,True
task2,1,real_design_proxy,False,0,54,6,polynomial_ridge_interactions,62,27881171,0.8786354107108822,2.523444858264851e-18,0.17298922347657053,0.22961067449174746,0.02611015818562988,0.81,-0.0141803672560302,-0.027731192987937407,-0.00346647432629272,-0.51689249764958,False,False,False,False,True
task2,2,injected_increment,True,1,54,6,polynomial_ridge_interactions,62,27881171,0.6941490375452639,5.8630844316612476e-09,0.8561016866264025,2.3078070267964253e-15,0.8791690489803697,0.005,0.056060561811290446,0.03410167117695463,0.08162899098979091,0.7396900567631457,True,True,True,True,True
