hyperparameter,source_config,destination_config,weight_sum,effective_sample_size,complexity.dist_spec_init_fft,complexity.fro_dist,complexity.fro_over_spec_fft,complexity.inverse_margin,complexity.log_prod_of_fro,complexity.log_prod_of_fro_over_margin,complexity.log_prod_of_spec_fft,complexity.log_prod_of_spec_over_margin_fft,complexity.log_spec_init_main_fft,complexity.log_spec_orig_main_fft,complexity.log_sum_of_fro,complexity.log_sum_of_fro_over_margin,complexity.log_sum_of_spec_fft,complexity.log_sum_of_spec_over_margin_fft,complexity.pacbayes_flatness,complexity.pacbayes_init,complexity.pacbayes_mag_flatness,complexity.pacbayes_mag_init,complexity.pacbayes_mag_orig,complexity.pacbayes_orig,complexity.param_norm,complexity.params,complexity.path_norm,complexity.path_norm_over_margin
hp.lr,7239324891241626353,3941968962761039756,49.10769239826643,99.95595436791521,1.0,0.0,0.0,1.0,0.0,0.0,0.7487683670505239,0.9193508710811583,0.3168164739216745,0.1281085073573101,0.0,0.0,0.7487683670505239,0.9193508710811583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,3941968962761039756,8746205607234603282,49.9936831073532,99.99998304940269,1.0,0.0,0.0,1.0,0.0,0.0,0.7099714922897394,0.9499946219631455,0.10993108779141518,0.009969803603276494,0.0,0.0,0.7099714922897394,0.9499946219631455,0.0,0.0,0.0,0.2700316247730774,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,8746205607234603282,3941968962761039756,49.9936831073532,99.99998304940269,1.0,0.0,0.0,1.0,0.0,0.0,0.7099714922897394,0.9499946219631455,0.10993108779141518,0.009969803603276494,0.0,0.0,0.7099714922897394,0.9499946219631455,0.0,0.0,0.0,0.2700316247730774,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,7239324891241626353,8236819516976363207,47.07254830002527,99.5613229107231,0.8971573449962121,0.0,0.0,1.0,0.0,0.0,0.28258304652895333,0.5216380294951303,0.13507894762074504,0.09817386682951489,0.0,0.0,0.28258304652895333,0.5216380294951303,0.0,0.0,0.010385656237193881,0.20579214522040343,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,8236819516976363207,7239324891241626353,47.07254830002527,99.5613229107231,0.8971573449962121,0.0,0.0,1.0,0.0,0.0,0.28258304652895333,0.5216380294951303,0.13507894762074504,0.09817386682951489,0.0,0.0,0.28258304652895333,0.5216380294951303,0.0,0.0,0.010385656237193881,0.20579214522040343,0.0,0.0,0.0,0.5,0.0,0.0
hp.lr,7239324891241626353,8746205607234603282,2.586588934951939,16.860397088975976,0.7003411028130319,0.031376237114200616,0.0,0.6483610750059001,0.0,0.0,0.2402855790092168,0.3058033414502212,0.2089093418950162,0.2089093418950162,0.0,0.0,0.2402855790092168,0.3058033414502212,0.0,0.0,0.4453951107360144,0.9657458947355274,0.9372745887561837,0.0,0.0,0.5,0.0,0.0
hp.lr,8746205607234603282,7239324891241626353,2.586588934951939,16.860397088975976,0.7003411028130319,0.031376237114200616,0.0,0.6483610750059001,0.0,0.0,0.2402855790092168,0.3058033414502212,0.2089093418950162,0.2089093418950162,0.0,0.0,0.2402855790092168,0.3058033414502212,0.0,0.0,0.4453951107360144,0.9657458947355274,0.9372745887561837,0.0,0.0,0.5,0.0,0.0
hp.lr,8236819516976363207,8746205607234603282,49.96927249861559,99.99964839456368,0.9899955110366253,0.0,0.0,1.0,0.0,0.0,0.12975086406145214,0.5197406626309016,0.009970998554137094,0.0,0.0,0.0,0.12975086406145214,0.5197406626309016,0.0,0.0,0.010005524815036464,0.6101507963744421,0.11005974431487198,0.0,0.0,0.5,0.0,0.0
hp.lr,8746205607234603282,8236819516976363207,49.96927249861559,99.99964839456368,0.9899955110366253,0.0,0.0,1.0,0.0,0.0,0.12975086406145214,0.5197406626309016,0.009970998554137094,0.0,0.0,0.0,0.12975086406145214,0.5197406626309016,0.0,0.0,0.010005524815036464,0.6101507963744421,0.11005974431487198,0.0,0.0,0.5,0.0,0.0
hp.lr,-2294707329991673686,-2767897993245568833,26.39109216607076,68.49852669201039,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9561925372751909,0.0,0.0,1.0,1.0,0.0,0.0,0.0022559336399314628,0.9145062522437746,0.0,0.0,0.0,0.5,0.0,0.0
